_id,year,month,day,mean_windspeed,wind_direction,mean_tempurature,humidity,rainfall,duration,color,location
664020eeaa38843775c170f3,2019,1,1,18.4,360,12.3,65,Trace,0,Green,CLK
664020eeaa38843775c170f4,2019,1,2,16.5,350,13.5,65,Trace,0,Green,CLK
664020eeaa38843775c170f5,2019,1,3,9.2,360,14.7,77,Trace,0,Green,CLK
664020eeaa38843775c170f6,2019,1,4,14.4,320,17.9,84,0.3,0,Green,CLK
664020eeaa38843775c170f7,2019,1,5,12.6,320,18,89,Trace,0,Green,CLK
664020eeaa38843775c170f8,2019,1,6,14.9,330,17.7,79,Trace,0,Green,CLK
664020eeaa38843775c170f9,2019,1,7,12.5,90,18.6,77,0,0,Green,CLK
664020eeaa38843775c170fa,2019,1,8,16.3,320,18.3,82,Trace,0,Green,CLK
664020eeaa38843775c170fb,2019,1,9,17,100,18.6,75,0,0,Green,CLK
664020eeaa38843775c170fc,2019,1,10,12.7,80,19.7,78,0.3,0,Green,CLK
664020eeaa38843775c170fd,2019,1,11,9.2,270,21,80,0,0,Green,CLK
664020eeaa38843775c170fe,2019,1,12,8.9,310,20.2,80,0,0,Green,CLK
664020eeaa38843775c170ff,2019,1,13,15.6,100,19.8,82,0,0,Green,CLK
664020eeaa38843775c17100,2019,1,14,15.4,90,19.5,79,Trace,0,Green,CLK
664020eeaa38843775c17101,2019,1,15,12.6,70,19.4,83,0.8,0,Green,CLK
664020eeaa38843775c17102,2019,1,16,18.4,360,16.5,64,0,0,Green,CLK
664020eeaa38843775c17103,2019,1,17,14.3,10,16.2,62,0,0,Green,CLK
664020eeaa38843775c17104,2019,1,18,11.8,60,16.9,67,0,0,Green,CLK
664020eeaa38843775c17105,2019,1,19,13.2,70,19.6,69,Trace,0,Green,CLK
664020eeaa38843775c17106,2019,1,20,12.8,60,20.9,72,Trace,0,Green,CLK
664020eeaa38843775c17107,2019,1,21,17.2,40,17.6,57,0,0,Green,CLK
664020eeaa38843775c17108,2019,1,22,18.5,20,15.6,44,0,0,Green,CLK
664020eeaa38843775c17109,2019,1,23,10.8,60,15.8,48,0,0,Green,CLK
664020eeaa38843775c1710a,2019,1,24,14,80,17.7,61,0,0,Green,CLK
664020eeaa38843775c1710b,2019,1,25,11.9,270,19.3,56,0,0,Green,CLK
664020eeaa38843775c1710c,2019,1,26,12.9,100,19.1,58,0,0,Green,CLK
