_id,location,year,month,day,mean_windspeed,wind_direction,mean_tempurature,humidity,rainfall,duration,color
6631e2b4aa38843775c152e8,Sha Tin,2019,1,5,4.3,60,19.9,87,0,0,Green
6631e2b4aa38843775c152eb,Sha Tin,2019,1,8,5.6,10,19,79,0,0,Green
6631e2b4aa38843775c152ec,Sha Tin,2019,1,9,8.4,110,17.7,79,0,0,Green
6631e2b4aa38843775c152ed,Sha Tin,2019,1,10,5.3,30,19.2,82,0,0,Green
6631e2b4aa38843775c152ef,Sha Tin,2019,1,12,4.5,70,21.5,82,0,0,Green
6631e2b4aa38843775c152f0,Sha Tin,2019,1,13,6.4,110,18.2,90,0,0,Green
6631e2b4aa38843775c152f2,Sha Tin,2019,1,15,6.3,30,18.9,84,3,0,Green
6631e2b4aa38843775c152f4,Sha Tin,2019,1,17,7.4,350,16,65,0,0,Green
6631e2b4aa38843775c152fe,Sha Tin,2019,1,27,7.3,80,16.5,68,0,0,Green
6631e2b4aa38843775c152ff,Sha Tin,2019,1,28,5.2,100,17.2,66,0,0,Green
6631e2b4aa38843775c15300,Sha Tin,2019,1,29,6.2,110,17.3,75,0,0,Green
6631e2b4aa38843775c15308,Sha Tin,2019,2,6,6.1,160,22.6,80,0,0,Green
6631e2b4aa38843775c1530a,Sha Tin,2019,2,8,6.4,100,20.3,89,0,0,Green
6631e2b4aa38843775c1530e,Sha Tin,2019,2,12,6.1,360,18.4,83,1,0,Green
6631e2b4aa38843775c15311,Sha Tin,2019,2,15,6.3,100,20.4,83,0,0,Green
6631e2b4aa38843775c15312,Sha Tin,2019,2,16,5.7,130,21.9,81,0,0,Green
6631e2b4aa38843775c15319,Sha Tin,2019,2,23,9,80,17.2,84,12,0,Green
6631e2b4aa38843775c1531a,Sha Tin,2019,2,24,6.6,40,15.5,80,3,0,Green
6631e2b4aa38843775c1531c,Sha Tin,2019,2,26,7.6,110,18.4,87,0,0,Green
6631e2b4aa38843775c1531d,Sha Tin,2019,2,27,5.8,80,20.7,83,0,0,Green
6631e2b4aa38843775c1531e,Sha Tin,2019,2,28,4.5,90,22.7,83,0,0,Green
6631e2b4aa38843775c15320,Sha Tin,2019,3,2,7.4,80,21.2,86,0,0,Green
6631e2b4aa38843775c15321,Sha Tin,2019,3,3,5.2,40,21.2,83,3.5,0,Green
6631e2b4aa38843775c15322,Sha Tin,2019,3,4,7.4,70,20.2,81,5.5,0,Green
6631e2b4aa38843775c152e5,Sha Tin,2019,1,2,9.1,360,13.4,65,0.5,0,Green
6631e2b4aa38843775c152ee,Sha Tin,2019,1,11,4.7,70,20.5,83,0,0,Green
6631e2b4aa38843775c152f5,Sha Tin,2019,1,18,6.5,10,16.4,72,0,0,Green
6631e2b4aa38843775c152f6,Sha Tin,2019,1,19,5.3,10,18.9,73,0,0,Green
6631e2b4aa38843775c152f8,Sha Tin,2019,1,21,9.3,40,17.1,60,0,0,Green
6631e2b4aa38843775c152fc,Sha Tin,2019,1,25,4,80,17.4,72,0,0,Green
6631e2b4aa38843775c152fd,Sha Tin,2019,1,26,6.2,30,17.2,71,0,0,Green
6631e2b4aa38843775c15303,Sha Tin,2019,2,1,8.1,30,17.7,66,0,0,Green
6631e2b4aa38843775c15307,Sha Tin,2019,2,5,7.3,90,20.4,80,0,0,Green
6631e2b4aa38843775c15310,Sha Tin,2019,2,14,10.3,100,20.4,81,0,0,Green
6631e2b4aa38843775c15313,Sha Tin,2019,2,17,10.3,100,18.5,85,0,0,Green
6631e2b4aa38843775c15318,Sha Tin,2019,2,22,7.3,30,20.6,78,1,0,Green
6631e2b4aa38843775c1531b,Sha Tin,2019,2,25,5.2,360,16.8,84,0,0,Green
6631e2b4aa38843775c152e4,Sha Tin,2019,1,1,8.3,350,12.7,64,0,0,Green
6631e2b4aa38843775c152e6,Sha Tin,2019,1,3,7,50,14.3,85,0.5,0,Green
6631e2b4aa38843775c152e9,Sha Tin,2019,1,6,6.4,30,17.5,81,0,0,Green
6631e2b4aa38843775c152ea,Sha Tin,2019,1,7,6.5,90,18.3,82,0,0,Green
6631e2b4aa38843775c152f1,Sha Tin,2019,1,14,7,100,18.4,85,0,0,Green
6631e2b4aa38843775c152f3,Sha Tin,2019,1,16,8.3,30,16.5,67,0,0,Green
6631e2b4aa38843775c152fa,Sha Tin,2019,1,23,4.1,80,14.3,67,0,0,Green
6631e2b4aa38843775c15301,Sha Tin,2019,1,30,5.9,110,19.1,71,0,0,Green
6631e2b4aa38843775c15302,Sha Tin,2019,1,31,4.9,70,21.4,75,0,0,Green
6631e2b4aa38843775c15306,Sha Tin,2019,2,4,7.1,90,20.5,85,0,0,Green
6631e2b4aa38843775c1530b,Sha Tin,2019,2,9,10.8,70,19.1,89,0,0,Green
6631e2b4aa38843775c1530c,Sha Tin,2019,2,10,10,100,17.9,88,1,0,Green
6631e2b4aa38843775c15316,Sha Tin,2019,2,20,6.7,180,23.1,87,0,0,Green
6631e2b4aa38843775c15323,Sha Tin,2019,3,5,7.9,200,22.2,84,34.5,70,Amber
6631e2b4aa38843775c152e7,Sha Tin,2019,1,4,4.7,60,18.7,83,0,0,Green
6631e2b4aa38843775c152f7,Sha Tin,2019,1,20,5.4,40,20.5,72,0.5,0,Green
6631e2b4aa38843775c152f9,Sha Tin,2019,1,22,7.7,40,14.8,50,0,0,Green
6631e2b4aa38843775c152fb,Sha Tin,2019,1,24,5.5,110,15.6,73,0,0,Green
6631e2b4aa38843775c15304,Sha Tin,2019,2,2,7.4,80,18.2,79,0,0,Green
6631e2b4aa38843775c15305,Sha Tin,2019,2,3,4.1,40,21.5,83,0,0,Green
