_id,location,year,month,day,mean_windspeed,wind_direction,mean_tempurature,humidity,rainfall,duration,color
6631e453aa38843775c161e0,Yau Ma Tei,2019,1,1,,,13.8,68,Trace,0,Green
6631e453aa38843775c161e7,Yau Ma Tei,2019,1,8,,,19.2,84,0.2,0,Green
6631e453aa38843775c161e9,Yau Ma Tei,2019,1,10,,,19.2,82,0,0,Green
6631e453aa38843775c161eb,Yau Ma Tei,2019,1,12,,,20.9,83,Trace,0,Green
6631e453aa38843775c161ee,Yau Ma Tei,2019,1,15,,,19,88,4,0,Green
6631e453aa38843775c161f5,Yau Ma Tei,2019,1,22,,,16,53,0,0,Green
6631e453aa38843775c161f6,Yau Ma Tei,2019,1,23,,,16.2,62,0,0,Green
6631e453aa38843775c161f9,Yau Ma Tei,2019,1,26,,,18.2,73,0,0,Green
6631e453aa38843775c161fa,Yau Ma Tei,2019,1,27,,,16.9,71,0,0,Green
6631e453aa38843775c161ff,Yau Ma Tei,2019,2,1,,,18.8,70,0,0,Green
6631e453aa38843775c16200,Yau Ma Tei,2019,2,2,,,18.6,80,Trace,0,Green
6631e453aa38843775c16201,Yau Ma Tei,2019,2,3,,,21.8,83,Trace,0,Green
6631e453aa38843775c16207,Yau Ma Tei,2019,2,9,,,19.3,90,0.8,0,Green
6631e453aa38843775c16209,Yau Ma Tei,2019,2,11,,,18.4,85,Trace,0,Green
6631e453aa38843775c1620a,Yau Ma Tei,2019,2,12,,,19,82,0.2,0,Green
6631e453aa38843775c1620c,Yau Ma Tei,2019,2,14,,,20.4,83,Trace,0,Green
6631e453aa38843775c1620d,Yau Ma Tei,2019,2,15,,,20.4,84,0.2,0,Green
6631e453aa38843775c16219,Yau Ma Tei,2019,2,27,,,20.7,85,Trace,0,Green
6631e453aa38843775c1621a,Yau Ma Tei,2019,2,28,,,22.8,85,0,0,Green
6631e453aa38843775c1621b,Yau Ma Tei,2019,3,1,,,20.8,89,0.4,0,Green
6631e453aa38843775c161e6,Yau Ma Tei,2019,1,7,,,18.5,83,0,0,Green
6631e453aa38843775c161ed,Yau Ma Tei,2019,1,14,,,18.5,86,Trace,0,Green
6631e453aa38843775c161f7,Yau Ma Tei,2019,1,24,,,16.9,71,0,0,Green
6631e453aa38843775c16203,Yau Ma Tei,2019,2,5,,,20.1,84,0,0,Green
6631e453aa38843775c16208,Yau Ma Tei,2019,2,10,,,18,90,0.8,0,Green
6631e453aa38843775c1620f,Yau Ma Tei,2019,2,17,,,18.8,86,0.1,0,Green
6631e453aa38843775c16210,Yau Ma Tei,2019,2,18,,,17.9,90,18.1,0,Green
6631e453aa38843775c16211,Yau Ma Tei,2019,2,19,,,20.3,91,31,0,Green
6631e453aa38843775c16214,Yau Ma Tei,2019,2,22,,,20.4,82,1.6,0,Green
6631e453aa38843775c1621c,Yau Ma Tei,2019,3,2,,,21.5,87,Trace,0,Green
6631e453aa38843775c161e1,Yau Ma Tei,2019,1,2,,,14.8,68,Trace,0,Green
6631e453aa38843775c161e3,Yau Ma Tei,2019,1,4,,,18.8,83,0.1,0,Green
6631e453aa38843775c161e4,Yau Ma Tei,2019,1,5,,,19.8,87,0,0,Green
6631e453aa38843775c161e5,Yau Ma Tei,2019,1,6,,,18.6,83,Trace,0,Green
6631e453aa38843775c161ea,Yau Ma Tei,2019,1,11,,,20.6,84,0,0,Green
6631e453aa38843775c161f0,Yau Ma Tei,2019,1,17,,,16.7,70,0,0,Green
6631e453aa38843775c161f2,Yau Ma Tei,2019,1,19,,,18.8,75,0.2,0,Green
6631e453aa38843775c161f3,Yau Ma Tei,2019,1,20,,,20.4,73,0.1,0,Green
6631e453aa38843775c161fb,Yau Ma Tei,2019,1,28,,,17.5,68,0,0,Green
6631e453aa38843775c161fe,Yau Ma Tei,2019,1,31,,,21.7,76,0,0,Green
6631e453aa38843775c16202,Yau Ma Tei,2019,2,4,,,21.7,83,0,0,Green
6631e453aa38843775c16205,Yau Ma Tei,2019,2,7,,,23,83,Trace,0,Green
6631e453aa38843775c16206,Yau Ma Tei,2019,2,8,,,21.7,87,Trace,0,Green
6631e453aa38843775c1620b,Yau Ma Tei,2019,2,13,,,21.1,80,0,0,Green
6631e453aa38843775c1620e,Yau Ma Tei,2019,2,16,,,22.4,81,0,0,Green
6631e453aa38843775c16212,Yau Ma Tei,2019,2,20,,,22.6,92,0.2,0,Green
6631e453aa38843775c16216,Yau Ma Tei,2019,2,24,,,16.9,83,3.4,0,Green
6631e453aa38843775c16218,Yau Ma Tei,2019,2,26,,,18.7,88,Trace,0,Green
6631e453aa38843775c1621e,Yau Ma Tei,2019,3,4,,,20.9,82,10.2,0,Green
6631e453aa38843775c1621f,Yau Ma Tei,2019,3,5,,,22.2,88,30.3,70,Amber
6631e453aa38843775c161e2,Yau Ma Tei,2019,1,3,,,16.2,84,0.1,0,Green
6631e453aa38843775c161e8,Yau Ma Tei,2019,1,9,,,17.8,84,0,0,Green
6631e453aa38843775c161ec,Yau Ma Tei,2019,1,13,,,18.5,89,Trace,0,Green
6631e453aa38843775c161ef,Yau Ma Tei,2019,1,16,,,17.3,72,0,0,Green
6631e453aa38843775c161f1,Yau Ma Tei,2019,1,18,,,17.1,75,0,0,Green
6631e453aa38843775c161f4,Yau Ma Tei,2019,1,21,,,17.8,64,0,0,Green
6631e453aa38843775c161f8,Yau Ma Tei,2019,1,25,,,18.7,67,0,0,Green
6631e453aa38843775c161fc,Yau Ma Tei,2019,1,29,,,18.5,74,0,0,Green
6631e453aa38843775c161fd,Yau Ma Tei,2019,1,30,,,19.3,73,0,0,Green
6631e453aa38843775c16204,Yau Ma Tei,2019,2,6,,,22.1,85,0,0,Green
6631e453aa38843775c16213,Yau Ma Tei,2019,2,21,,,21.4,93,Trace,0,Green
6631e453aa38843775c16215,Yau Ma Tei,2019,2,23,,,18.1,87,12.3,0,Green
6631e453aa38843775c16217,Yau Ma Tei,2019,2,25,,,18,85,Trace,0,Green
6631e453aa38843775c1621d,Yau Ma Tei,2019,3,3,,,21.5,87,6.3,0,Green
6631e453aa38843775c16222,Yau Ma Tei,2019,3,8,,,16.5,92,11.5,225,Amber
6631e453aa38843775c16223,Yau Ma Tei,2019,3,9,,,17.8,95,14.5,0,Green
6631e453aa38843775c16226,Yau Ma Tei,2019,3,12,,,20.1,77,0,0,Green
