location,year,month,day,mean_windspeed,wind_direction,mean_tempurature,humidity,rainfall,duration,color
Yau Ma Tei,2019,1,1,,,13.8,68,Trace,0,Green
Yau Ma Tei,2019,1,2,,,14.8,68,Trace,0,Green
Yau Ma Tei,2019,1,3,,,16.2,84,0.1,0,Green
Yau Ma Tei,2019,1,4,,,18.8,83,0.1,0,Green
Yau Ma Tei,2019,1,5,,,19.8,87,0,0,Green
Yau Ma Tei,2019,1,6,,,18.6,83,Trace,0,Green
Yau Ma Tei,2019,1,7,,,18.5,83,0,0,Green
Yau Ma Tei,2019,1,8,,,19.2,84,0.2,0,Green
Yau Ma Tei,2019,1,9,,,17.8,84,0,0,Green
Yau Ma Tei,2019,1,10,,,19.2,82,0,0,Green
Yau Ma Tei,2019,1,11,,,20.6,84,0,0,Green
Yau Ma Tei,2019,1,12,,,20.9,83,Trace,0,Green
Yau Ma Tei,2019,1,13,,,18.5,89,Trace,0,Green
Yau Ma Tei,2019,1,14,,,18.5,86,Trace,0,Green
Yau Ma Tei,2019,1,15,,,19,88,4,0,Green
Yau Ma Tei,2019,1,16,,,17.3,72,0,0,Green
Yau Ma Tei,2019,1,17,,,16.7,70,0,0,Green
Yau Ma Tei,2019,1,18,,,17.1,75,0,0,Green
Yau Ma Tei,2019,1,19,,,18.8,75,0.2,0,Green
Yau Ma Tei,2019,1,20,,,20.4,73,0.1,0,Green
Yau Ma Tei,2019,1,21,,,17.8,64,0,0,Green
Yau Ma Tei,2019,1,22,,,16,53,0,0,Green
Yau Ma Tei,2019,1,23,,,16.2,62,0,0,Green
Yau Ma Tei,2019,1,24,,,16.9,71,0,0,Green
Yau Ma Tei,2019,1,25,,,18.7,67,0,0,Green
Yau Ma Tei,2019,1,26,,,18.2,73,0,0,Green
Yau Ma Tei,2019,1,27,,,16.9,71,0,0,Green
Yau Ma Tei,2019,1,28,,,17.5,68,0,0,Green
Yau Ma Tei,2019,1,29,,,18.5,74,0,0,Green
Yau Ma Tei,2019,1,30,,,19.3,73,0,0,Green
Yau Ma Tei,2019,1,31,,,21.7,76,0,0,Green
Yau Ma Tei,2019,2,1,,,18.8,70,0,0,Green
Yau Ma Tei,2019,2,2,,,18.6,80,Trace,0,Green
Yau Ma Tei,2019,2,3,,,21.8,83,Trace,0,Green
Yau Ma Tei,2019,2,4,,,21.7,83,0,0,Green
Yau Ma Tei,2019,2,5,,,20.1,84,0,0,Green
Yau Ma Tei,2019,2,6,,,22.1,85,0,0,Green
Yau Ma Tei,2019,2,7,,,23,83,Trace,0,Green
Yau Ma Tei,2019,2,8,,,21.7,87,Trace,0,Green
Yau Ma Tei,2019,2,9,,,19.3,90,0.8,0,Green
Yau Ma Tei,2019,2,10,,,18,90,0.8,0,Green
Yau Ma Tei,2019,2,11,,,18.4,85,Trace,0,Green
Yau Ma Tei,2019,2,12,,,19,82,0.2,0,Green
Yau Ma Tei,2019,2,13,,,21.1,80,0,0,Green
Yau Ma Tei,2019,2,14,,,20.4,83,Trace,0,Green
Yau Ma Tei,2019,2,15,,,20.4,84,0.2,0,Green
Yau Ma Tei,2019,2,16,,,22.4,81,0,0,Green
Yau Ma Tei,2019,2,17,,,18.8,86,0.1,0,Green
Yau Ma Tei,2019,2,18,,,17.9,90,18.1,0,Green
Yau Ma Tei,2019,2,19,,,20.3,91,31,110,Amber
