Year,Month,Day,Value,data Completeness
2010,1,1,***,
2010,1,2,***,
2010,1,3,***,
2010,1,4,***,
2010,1,5,***,
2010,1,6,***,
2010,1,7,***,
2010,1,8,***,
2010,1,9,***,
2010,1,10,***,
2010,1,11,***,
2010,1,12,***,
2010,1,13,***,
2010,1,14,***,
2010,1,15,***,
2010,1,16,***,
2010,1,17,***,
2010,1,18,***,
2010,1,19,***,
2010,1,20,***,
2010,1,21,***,
2010,1,22,***,
2010,1,23,***,
2010,1,24,***,
2010,1,25,***,
2010,1,26,***,
2010,1,27,***,
2010,1,28,***,
2010,1,29,***,
2010,1,30,***,
2010,1,31,***,
2010,2,1,***,
2010,2,2,***,
2010,2,3,***,
2010,2,4,***,
2010,2,5,***,
2010,2,6,***,
2010,2,7,***,
2010,2,8,***,
2010,2,9,***,
2010,2,10,***,
2010,2,11,***,
2010,2,12,***,
2010,2,13,***,
2010,2,14,***,
2010,2,15,***,
2010,2,16,***,
2010,2,17,***,
2010,2,18,***,
2010,2,19,***,
2010,2,20,***,
2010,2,21,***,
2010,2,22,***,
2010,2,23,***,
2010,2,24,***,
2010,2,25,***,
2010,2,26,***,
2010,2,27,***,
2010,2,28,***,
2010,3,1,***,
2010,3,2,***,
2010,3,3,***,
2010,3,4,***,
2010,3,5,***,
2010,3,6,***,
2010,3,7,***,
2010,3,8,***,
2010,3,9,***,
2010,3,10,***,
2010,3,11,***,
2010,3,12,***,
2010,3,13,***,
2010,3,14,***,
2010,3,15,***,
2010,3,16,***,
2010,3,17,***,
2010,3,18,***,
2010,3,19,***,
2010,3,20,***,
2010,3,21,***,
2010,3,22,***,
2010,3,23,***,
2010,3,24,***,
2010,3,25,***,
2010,3,26,***,
2010,3,27,***,
2010,3,28,***,
2010,3,29,***,
2010,3,30,***,
2010,3,31,***,
2010,4,1,0.0,C
2010,4,2,3.0,C
2010,4,3,0.0,C
2010,4,4,0.0,#
2010,4,5,***,
2010,4,6,***,
2010,4,7,1.5,#
2010,4,8,9.5,C
2010,4,9,0.0,C
2010,4,10,2.0,C
2010,4,11,0.0,C
2010,4,12,0.0,C
2010,4,13,1.0,C
2010,4,14,1.0,C
2010,4,15,6.5,C
2010,4,16,0.0,C
2010,4,17,1.5,C
2010,4,18,2.5,C
2010,4,19,0.0,C
2010,4,20,0.5,C
2010,4,21,0.0,C
2010,4,22,6.5,C
2010,4,23,0.0,C
2010,4,24,0.0,C
2010,4,25,0.0,C
2010,4,26,0.0,C
2010,4,27,0.0,C
2010,4,28,0.0,C
2010,4,29,35.5,C
2010,4,30,1.0,C
2010,5,1,0.0,C
2010,5,2,0.0,C
2010,5,3,3.0,C
2010,5,4,1.0,C
2010,5,5,0.0,C
2010,5,6,7.5,C
2010,5,7,31.5,C
2010,5,8,0.0,C
2010,5,9,7.5,C
2010,5,10,26.0,C
2010,5,11,1.0,C
2010,5,12,0.0,C
2010,5,13,0.0,C
2010,5,14,0.0,C
2010,5,15,7.0,C
2010,5,16,0.5,C
2010,5,17,0.0,C
2010,5,18,0.0,C
2010,5,19,64.5,C
2010,5,20,10.5,C
2010,5,21,0.5,C
2010,5,22,0.5,C
2010,5,23,9.5,C
2010,5,24,0.0,C
2010,5,25,0.0,C
2010,5,26,0.0,C
2010,5,27,0.0,C
2010,5,28,0.0,C
2010,5,29,17.0,C
2010,5,30,2.5,C
2010,5,31,1.5,C
2010,6,1,6.5,C
2010,6,2,20.5,C
2010,6,3,1.0,C
2010,6,4,1.5,C
2010,6,5,7.0,C
2010,6,6,0.0,C
2010,6,7,0.0,C
2010,6,8,0.0,C
2010,6,9,19.0,#
2010,6,10,65.0,C
2010,6,11,0.5,C
2010,6,12,0.0,C
2010,6,13,33.5,C
2010,6,14,9.0,C
2010,6,15,1.0,C
2010,6,16,5.5,C
2010,6,17,0.5,C
2010,6,18,0.0,C
2010,6,19,0.0,C
2010,6,20,0.5,C
2010,6,21,0.5,C
2010,6,22,7.5,C
2010,6,23,40.5,C
2010,6,24,45.0,C
2010,6,25,1.0,C
2010,6,26,119.5,C
2010,6,27,76.0,C
2010,6,28,42.0,C
2010,6,29,0.0,C
2010,6,30,0.0,C
2010,7,1,0.0,C
2010,7,2,0.0,C
2010,7,3,0.0,C
2010,7,4,0.0,C
2010,7,5,0.0,C
2010,7,6,0.0,#
2010,7,7,0.0,C
2010,7,8,2.0,C
2010,7,9,0.0,C
2010,7,10,7.5,C
2010,7,11,18.5,#
