Year,Month,Day,Value,data Completeness
2007,1,1,0.0,C
2007,1,2,0.0,C
2007,1,3,0.0,C
2007,1,4,0.0,C
2007,1,5,0.0,C
2007,1,6,0.0,C
2007,1,7,0.0,C
2007,1,8,0.0,C
2007,1,9,0.0,C
2007,1,10,0.0,C
2007,1,11,0.0,C
2007,1,12,0.0,C
2007,1,13,0.0,C
2007,1,14,0.0,C
2007,1,15,0.0,C
2007,1,16,0.0,C
2007,1,17,22.0,C
2007,1,18,0.0,C
2007,1,19,0.0,C
2007,1,20,0.5,C
2007,1,21,0.0,C
2007,1,22,0.0,C
2007,1,23,0.0,C
2007,1,24,0.0,C
2007,1,25,0.0,C
2007,1,26,0.0,C
2007,1,27,0.0,C
2007,1,28,0.0,C
2007,1,29,0.0,C
2007,1,30,0.0,C
2007,1,31,0.0,C
2007,2,1,0.0,C
2007,2,2,0.0,C
2007,2,3,0.0,C
2007,2,4,0.0,C
2007,2,5,0.0,C
2007,2,6,0.0,C
2007,2,7,0.0,C
2007,2,8,0.0,C
2007,2,9,0.5,C
2007,2,10,0.0,C
2007,2,11,0.0,C
2007,2,12,0.0,C
2007,2,13,0.0,C
2007,2,14,0.0,C
2007,2,15,0.0,C
2007,2,16,0.0,C
2007,2,17,0.0,C
2007,2,18,0.0,C
2007,2,19,0.0,C
2007,2,20,0.0,C
2007,2,21,1.0,C
2007,2,22,8.5,C
2007,2,23,0.0,C
2007,2,24,0.0,C
2007,2,25,1.5,C
2007,2,26,0.0,C
2007,2,27,0.0,C
2007,2,28,0.0,C
2007,3,1,0.0,C
2007,3,2,0.0,C
2007,3,3,0.0,C
2007,3,4,0.5,C
2007,3,5,2.0,C
2007,3,6,0.0,C
2007,3,7,1.5,C
2007,3,8,0.0,C
2007,3,9,0.0,C
2007,3,10,0.0,C
2007,3,11,0.5,C
2007,3,12,0.0,C
2007,3,13,0.0,C
2007,3,14,0.0,C
2007,3,15,0.0,C
2007,3,16,0.0,C
2007,3,17,0.0,C
2007,3,18,0.0,C
2007,3,19,7.5,C
2007,3,20,0.0,C
2007,3,21,0.0,C
2007,3,22,0.0,C
2007,3,23,0.0,C
2007,3,24,3.5,C
2007,3,25,0.0,C
2007,3,26,6.5,C
2007,3,27,0.0,C
2007,3,28,0.0,C
2007,3,29,0.0,C
2007,3,30,0.0,C
2007,3,31,0.0,C
2007,4,1,0.0,C
2007,4,2,7.5,C
2007,4,3,1.5,C
2007,4,4,4.5,C
2007,4,5,0.0,C
2007,4,6,0.0,C
2007,4,7,2.0,C
2007,4,8,0.0,C
2007,4,9,0.0,C
2007,4,10,4.0,C
2007,4,11,0.0,C
2007,4,12,0.0,C
2007,4,13,0.0,C
2007,4,14,0.0,C
2007,4,15,0.0,C
2007,4,16,0.0,C
2007,4,17,10.5,C
2007,4,18,0.0,C
2007,4,19,0.0,C
2007,4,20,0.0,C
2007,4,21,0.0,C
2007,4,22,0.0,C
2007,4,23,6.0,C
2007,4,24,73.0,C
2007,4,25,2.0,C
2007,4,26,0.0,C
2007,4,27,0.0,C
2007,4,28,0.0,C
2007,4,29,1.0,C
2007,4,30,2.0,C
2007,5,1,0.0,C
2007,5,2,0.0,C
2007,5,3,0.0,C
2007,5,4,9.0,C
2007,5,5,7.5,C
2007,5,6,0.0,C
2007,5,7,0.0,C
2007,5,8,0.0,C
2007,5,9,0.0,C
2007,5,10,0.0,C
2007,5,11,0.0,C
2007,5,12,0.0,C
2007,5,13,0.0,C
2007,5,14,0.0,C
2007,5,15,0.0,C
2007,5,16,2.0,C
2007,5,17,0.0,C
2007,5,18,29.0,C
2007,5,19,69.5,C
2007,5,20,79.0,C
2007,5,21,16.5,C
2007,5,22,35.5,C
2007,5,23,8.0,C
2007,5,24,0.0,C
2007,5,25,0.0,C
2007,5,26,0.0,C
2007,5,27,13.0,C
2007,5,28,7.5,C
2007,5,29,0.0,C
2007,5,30,0.0,C
2007,5,31,0.5,C
2007,6,1,0.0,C
2007,6,2,0.5,C
2007,6,3,0.0,C
2007,6,4,0.0,C
2007,6,5,0.0,C
2007,6,6,1.0,C
2007,6,7,6.5,C
2007,6,8,29.0,C
2007,6,9,4.5,C
2007,6,10,90.5,C
2007,6,11,0.0,C
2007,6,12,1.5,C
2007,6,13,10.5,C
2007,6,14,60.0,C
2007,6,15,11.0,C
2007,6,16,0.0,C
2007,6,17,2.5,C
2007,6,18,0.0,C
2007,6,19,0.0,C
2007,6,20,0.0,C
2007,6,21,0.0,C
2007,6,22,0.0,C
2007,6,23,0.0,C
2007,6,24,0.0,C
2007,6,25,0.0,C
2007,6,26,4.0,C
2007,6,27,21.5,C
2007,6,28,88.0,C
2007,6,29,30.5,C
2007,6,30,39.5,C
2007,7,1,28.0,C
2007,7,2,9.0,C
2007,7,3,0.0,C
2007,7,4,0.0,C
2007,7,5,5.0,C
2007,7,6,6.0,C
2007,7,7,0.0,C
2007,7,8,0.0,C
2007,7,9,0.0,C
2007,7,10,0.0,C
2007,7,11,0.0,C
2007,7,12,0.0,C
2007,7,13,0.0,C
2007,7,14,0.0,C
2007,7,15,0.0,#
2007,7,16,0.0,#
2007,7,17,4.0,C
2007,7,18,1.0,C
2007,7,19,0.0,C
2007,7,20,0.0,C
2007,7,21,0.0,C
2007,7,22,3.5,C
2007,7,23,0.0,C
2007,7,24,0.0,C
2007,7,25,0.0,C
2007,7,26,0.0,C
2007,7,27,0.0,C
2007,7,28,0.0,C
2007,7,29,1.5,C
2007,7,30,0.0,C
2007,7,31,0.0,C
2007,8,1,0.0,C
2007,8,2,0.0,C
2007,8,3,0.0,C
2007,8,4,0.0,C
2007,8,5,0.0,C
2007,8,6,22.0,C
2007,8,7,6.0,C
2007,8,8,29.0,C
2007,8,9,26.5,C
2007,8,10,29.0,C
2007,8,11,35.0,C
2007,8,12,7.0,C
2007,8,13,1.0,C
2007,8,14,34.5,C
2007,8,15,3.5,C
2007,8,16,87.0,C
2007,8,17,23.0,C
2007,8,18,35.5,C
2007,8,19,0.0,C
2007,8,20,19.0,C
2007,8,21,0.0,C
2007,8,22,20.0,C
2007,8,23,0.0,C
2007,8,24,0.0,C
2007,8,25,4.0,C
2007,8,26,0.5,C
2007,8,27,28.5,C
2007,8,28,5.5,C
2007,8,29,0.5,C
2007,8,30,0.5,C
2007,8,31,0.0,C
2007,9,1,0.0,C
2007,9,2,0.5,C
2007,9,3,0.0,C
2007,9,4,9.0,C
2007,9,5,0.0,C
2007,9,6,0.0,C
2007,9,7,0.0,C
2007,9,8,0.0,C
2007,9,9,0.0,C
2007,9,10,0.0,C
2007,9,11,0.0,C
2007,9,12,10.5,C
2007,9,13,0.0,C
2007,9,14,0.0,C
2007,9,15,0.0,C
2007,9,16,0.0,C
2007,9,17,0.0,C
2007,9,18,0.0,C
2007,9,19,0.0,C
2007,9,20,0.0,C
2007,9,21,0.0,C
2007,9,22,0.0,C
2007,9,23,5.0,C
2007,9,24,41.0,C
2007,9,25,1.0,C
2007,9,26,0.0,C
2007,9,27,0.0,C
2007,9,28,0.0,C
2007,9,29,0.0,C
2007,9,30,0.0,#
2007,10,1,***,
2007,10,2,***,
2007,10,3,0.0,#
2007,10,4,0.0,C
2007,10,5,0.0,C
2007,10,6,0.0,C
2007,10,7,0.0,C
2007,10,8,0.0,C
2007,10,9,0.0,C
2007,10,10,0.5,C
2007,10,11,0.0,C
2007,10,12,1.5,C
2007,10,13,0.0,C
2007,10,14,0.0,C
2007,10,15,0.0,C
2007,10,16,0.0,C
2007,10,17,0.0,C
2007,10,18,0.0,C
2007,10,19,0.0,C
2007,10,20,0.0,C
2007,10,21,0.0,C
2007,10,22,0.0,C
2007,10,23,0.0,C
2007,10,24,0.0,C
2007,10,25,0.0,C
2007,10,26,0.0,C
2007,10,27,0.0,C
2007,10,28,0.0,C
2007,10,29,0.0,C
2007,10,30,3.0,C
2007,10,31,11.0,C
2007,11,1,7.5,C
2007,11,2,1.5,C
2007,11,3,0.0,C
2007,11,4,0.0,C
2007,11,5,0.0,C
2007,11,6,0.0,C
2007,11,7,0.0,C
2007,11,8,2.5,C
2007,11,9,0.0,C
2007,11,10,0.0,C
2007,11,11,0.0,C
2007,11,12,0.0,C
2007,11,13,0.0,C
2007,11,14,0.0,C
2007,11,15,0.0,C
2007,11,16,0.0,C
2007,11,17,0.0,C
2007,11,18,0.0,C
2007,11,19,0.0,C
2007,11,20,0.0,C
2007,11,21,0.0,C
2007,11,22,0.0,C
2007,11,23,0.0,C
2007,11,24,0.0,C
2007,11,25,0.0,C
2007,11,26,0.0,C
2007,11,27,0.0,C
2007,11,28,0.0,C
2007,11,29,0.0,C
2007,11,30,0.0,C
2007,12,1,0.0,C
2007,12,2,0.0,C
2007,12,3,0.0,C
2007,12,4,0.0,C
2007,12,5,0.0,C
2007,12,6,0.0,C
2007,12,7,0.0,C
2007,12,8,0.0,C
2007,12,9,0.0,C
2007,12,10,0.0,C
2007,12,11,0.0,C
2007,12,12,0.0,C
2007,12,13,0.0,C
2007,12,14,0.0,C
2007,12,15,0.0,C
2007,12,16,0.0,C
2007,12,17,0.0,C
2007,12,18,0.0,C
2007,12,19,0.0,C
2007,12,20,0.0,C
2007,12,21,0.0,C
2007,12,22,0.0,C
2007,12,23,1.0,C
2007,12,24,24.0,C
2007,12,25,0.0,C
2007,12,26,0.0,C
2007,12,27,0.0,C
2007,12,28,0.0,C
2007,12,29,0.0,C
2007,12,30,0.0,C
2007,12,31,0.0,C
2008,1,1,0.0,C
2008,1,2,0.0,C
2008,1,3,0.0,C
2008,1,4,0.0,C
2008,1,5,0.0,C
2008,1,6,0.0,C
2008,1,7,0.0,C
2008,1,8,0.0,C
2008,1,9,0.0,C
2008,1,10,0.0,C
2008,1,11,0.0,C
2008,1,12,0.0,#
2008,1,13,0.0,C
2008,1,14,0.0,C
2008,1,15,0.0,C
2008,1,16,0.0,C
2008,1,17,0.0,C
2008,1,18,0.0,C
2008,1,19,0.0,C
2008,1,20,0.0,C
2008,1,21,0.0,C
2008,1,22,0.0,C
2008,1,23,0.0,C
2008,1,24,1.0,C
2008,1,25,20.0,C
2008,1,26,0.0,C
2008,1,27,0.0,C
2008,1,28,0.5,C
2008,1,29,1.5,C
2008,1,30,17.0,C
2008,1,31,1.0,C
2008,2,1,0.0,C
2008,2,2,12.0,C
2008,2,3,0.0,C
2008,2,4,0.5,C
2008,2,5,3.5,C
2008,2,6,0.0,C
2008,2,7,0.5,C
2008,2,8,0.0,C
2008,2,9,0.0,C
2008,2,10,0.0,C
2008,2,11,0.0,C
2008,2,12,0.0,C
2008,2,13,0.0,C
2008,2,14,0.0,C
2008,2,15,0.0,C
2008,2,16,0.5,C
2008,2,17,1.0,C
2008,2,18,0.0,C
2008,2,19,0.0,C
2008,2,20,0.0,C
2008,2,21,0.0,C
2008,2,22,1.5,C
2008,2,23,2.5,C
2008,2,24,1.5,C
2008,2,25,0.0,C
2008,2,26,0.0,C
2008,2,27,0.0,C
2008,2,28,0.0,C
2008,2,29,0.0,C
2008,3,1,0.0,C
2008,3,2,0.0,C
2008,3,3,0.0,C
2008,3,4,0.0,C
2008,3,5,0.0,C
2008,3,6,0.0,C
2008,3,7,0.0,C
2008,3,8,0.0,C
2008,3,9,0.0,C
2008,3,10,0.0,C
2008,3,11,0.0,C
2008,3,12,0.0,C
2008,3,13,0.0,C
2008,3,14,0.0,C
2008,3,15,0.0,C
2008,3,16,0.0,C
2008,3,17,0.0,C
2008,3,18,0.0,C
2008,3,19,0.0,C
2008,3,20,0.0,C
2008,3,21,0.0,C
2008,3,22,21.5,C
2008,3,23,0.0,C
2008,3,24,0.0,C
2008,3,25,0.0,C
2008,3,26,10.5,C
2008,3,27,0.0,C
2008,3,28,5.0,C
2008,3,29,0.0,C
2008,3,30,0.0,C
2008,3,31,2.5,C
2008,4,1,3.5,C
2008,4,2,0.5,C
2008,4,3,1.0,C
2008,4,4,0.0,C
2008,4,5,0.0,C
2008,4,6,0.0,C
2008,4,7,0.0,C
2008,4,8,0.0,C
2008,4,9,0.0,C
2008,4,10,0.0,C
2008,4,11,0.0,C
2008,4,12,0.0,C
2008,4,13,0.5,C
2008,4,14,0.0,C
2008,4,15,0.0,C
2008,4,16,0.0,C
2008,4,17,0.0,C
2008,4,18,0.0,C
2008,4,19,105.5,C
2008,4,20,0.0,C
2008,4,21,0.0,C
2008,4,22,0.0,C
2008,4,23,5.0,C
2008,4,24,0.0,C
2008,4,25,3.0,C
