Year,Month,Day,Value,data Completeness
2005,12,1,0.0,C
2005,12,2,0.0,C
2005,12,3,0.0,C
2005,12,4,0.0,C
2005,12,5,0.0,C
2005,12,6,0.0,C
2005,12,7,0.0,C
2005,12,8,0.0,C
2005,12,9,0.0,C
2005,12,10,0.0,C
2005,12,11,0.0,C
2005,12,12,0.0,C
2005,12,13,0.0,C
2005,12,14,0.0,C
2005,12,15,0.0,C
2005,12,16,0.0,C
2005,12,17,0.0,C
2005,12,18,0.0,C
2005,12,19,0.0,C
2005,12,20,0.0,C
2005,12,21,0.0,C
2005,12,22,0.0,#
2005,12,23,0.0,#
2005,12,24,0.0,C
2005,12,25,0.0,C
2005,12,26,0.0,C
2005,12,27,0.0,C
2005,12,28,1.0,C
2005,12,29,0.0,C
2005,12,30,0.5,C
2005,12,31,0.5,C
2006,1,1,0.0,C
2006,1,2,0.0,C
2006,1,3,0.0,C
2006,1,4,0.0,C
2006,1,5,2.5,C
2006,1,6,0.0,C
2006,1,7,0.0,C
2006,1,8,0.0,C
2006,1,9,0.0,C
2006,1,10,0.0,C
2006,1,11,0.0,C
2006,1,12,0.0,C
2006,1,13,0.0,C
2006,1,14,0.0,C
2006,1,15,0.0,C
2006,1,16,0.0,C
2006,1,17,0.0,C
2006,1,18,0.0,C
2006,1,19,0.0,C
2006,1,20,11.5,#
2006,1,21,***,
2006,1,22,***,
2006,1,23,0.0,#
2006,1,24,0.0,C
2006,1,25,0.0,C
2006,1,26,0.0,C
2006,1,27,0.0,C
2006,1,28,6.5,C
2006,1,29,0.5,C
2006,1,30,0.0,C
2006,1,31,0.0,C
2006,2,1,0.0,C
2006,2,2,0.0,C
2006,2,3,0.0,C
2006,2,4,0.0,C
2006,2,5,0.0,C
2006,2,6,0.0,C
2006,2,7,0.0,C
2006,2,8,0.0,C
2006,2,9,0.0,C
2006,2,10,0.0,C
2006,2,11,0.0,C
2006,2,12,0.0,C
2006,2,13,0.0,C
2006,2,14,1.0,C
2006,2,15,0.0,C
2006,2,16,1.0,C
2006,2,17,0.0,C
2006,2,18,5.5,C
2006,2,19,3.0,C
2006,2,20,0.0,C
2006,2,21,0.0,C
2006,2,22,0.0,C
2006,2,23,0.0,C
2006,2,24,0.0,C
2006,2,25,0.0,C
2006,2,26,0.0,C
2006,2,27,22.5,C
2006,2,28,37.5,C
2006,3,1,0.0,C
2006,3,2,0.0,C
2006,3,3,0.0,C
2006,3,4,0.0,C
2006,3,5,6.5,C
2006,3,6,1.5,C
2006,3,7,0.0,C
2006,3,8,0.0,C
2006,3,9,0.0,C
2006,3,10,0.0,C
2006,3,11,0.0,C
2006,3,12,0.5,C
2006,3,13,4.0,C
2006,3,14,0.0,C
2006,3,15,0.0,C
2006,3,16,0.0,C
2006,3,17,0.0,C
2006,3,18,0.0,C
2006,3,19,0.0,C
2006,3,20,0.0,C
2006,3,21,0.0,C
2006,3,22,0.0,C
2006,3,23,5.5,C
2006,3,24,20.5,#
2006,3,25,6.0,C
2006,3,26,1.0,C
2006,3,27,1.0,C
2006,3,28,0.0,C
2006,3,29,0.0,C
2006,3,30,0.0,C
2006,3,31,0.0,C
2006,4,1,0.0,C
2006,4,2,0.5,C
2006,4,3,0.0,C
2006,4,4,0.0,C
2006,4,5,0.0,C
2006,4,6,0.0,C
2006,4,7,1.5,C
2006,4,8,0.0,C
2006,4,9,1.0,C
2006,4,10,0.0,C
2006,4,11,0.0,C
2006,4,12,0.0,C
2006,4,13,3.5,C
2006,4,14,0.0,C
2006,4,15,1.0,C
2006,4,16,0.0,C
2006,4,17,0.0,C
2006,4,18,0.0,C
2006,4,19,0.0,C
2006,4,20,0.0,C
2006,4,21,0.0,C
2006,4,22,0.0,C
2006,4,23,0.0,C
2006,4,24,7.5,C
2006,4,25,0.0,C
2006,4,26,1.5,C
2006,4,27,0.5,C
2006,4,28,61.5,C
2006,4,29,0.5,C
2006,4,30,0.0,C
2006,5,1,0.0,C
2006,5,2,14.5,C
2006,5,3,83.5,C
2006,5,4,0.5,C
2006,5,5,0.0,C
2006,5,6,0.0,C
2006,5,7,0.0,C
2006,5,8,0.0,C
2006,5,9,0.0,C
2006,5,10,0.0,C
2006,5,11,0.0,C
2006,5,12,0.0,C
2006,5,13,0.0,C
2006,5,14,0.0,C
2006,5,15,0.0,C
2006,5,16,1.5,C
2006,5,17,19.0,C
2006,5,18,0.0,C
2006,5,19,0.0,C
2006,5,20,1.5,C
2006,5,21,35.5,C
2006,5,22,20.5,C
2006,5,23,4.5,C
2006,5,24,1.5,C
2006,5,25,0.0,C
2006,5,26,0.0,C
2006,5,27,8.5,C
2006,5,28,38.5,C
2006,5,29,8.0,C
2006,5,30,7.0,C
2006,5,31,40.0,C
2006,6,1,7.5,C
2006,6,2,56.0,C
2006,6,3,1.5,C
2006,6,4,0.0,C
2006,6,5,0.0,C
2006,6,6,2.0,C
2006,6,7,17.5,C
2006,6,8,17.0,C
2006,6,9,178.0,C
2006,6,10,13.5,C
2006,6,11,3.0,C
2006,6,12,15.5,C
2006,6,13,27.5,C
